"Comment","Designator","Footprint","LCSC Part #"
"C23984","U101","SOT-223","C23984"
"100nF 0402","C102,C105,C106,C103,C109,C110,C111,C112","C_0402_1005Metric","C307331"
"22uF 0805","C101,C104,C108","C_0805_2012Metric","C45783"
"BRMMSZ5228B","Z102,H102,H103,H101,SYM101,SYM102,SYM103,MNT101,MNT102,MNT103,SYM104,TP103,TP101,TP102,TP104","SOD-123",""
"10k 0402","R101,R104,R105,R106","R_0402_1005Metric","C25744"
"330R 0402","R102,R103","R_0402_1005Metric","C226996"
"KXT 331 LHS","SW101","SW_SPST_CK_KXT3","C221822"
"C2838502","U102","ESP32-C3-MINI","C2838502"
"C165948","J101","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"C2827654","D101","SOT23-6L","C2827654"
"10nF 0402","C107","C_0402_1005Metric","C15195"
"BH1721FVC","U103","WSOF5","C184130"
"AW9201","U104","QFN-8L","C506183"
"C965555","D201,D202,D203,D204,D205,D206,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D312","WS2812B-2020","C965555"
