Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U101,C23984,SOT-223,22.1488,-1.8288,180.0,top
C102,100nF 0402,C_0402_1005Metric,12.0396,-8.2296,90.0,top
C101,22uF 0805,C_0805_2012Metric,12.5476,-5.5372,270.0,top
C105,100nF 0402,C_0402_1005Metric,17.1196,-4.2164,270.0,top
C106,100nF 0402,C_0402_1005Metric,17.1196,-2.3368,90.0,top
C104,22uF 0805,C_0805_2012Metric,15.6464,-8.2804,0.0,top
Z102,BRMMSZ5228B,SOD-123,15.0368,-4.0132,270.0,top
C103,100nF 0402,C_0402_1005Metric,12.5857,-3.289299,180.0,top
R101,10k 0402,R_0402_1005Metric,12.5857,-2.2733,180.0,top
C109,100nF 0402,C_0402_1005Metric,-19.2532,9.4488,225.0,top
C110,100nF 0402,C_0402_1005Metric,-0.1524,12.0904,180.0,top
C111,100nF 0402,C_0402_1005Metric,-16.4592,-8.7884,0.0,top
C108,22uF 0805,C_0805_2012Metric,-12.6492,11.938,180.0,top
R102,330R 0402,R_0402_1005Metric,-27.9908,-9.0932,0.0,top
R103,330R 0402,R_0402_1005Metric,3.6576,1.4732,180.0,top
SW101,KXT 331 LHS,SW_SPST_CK_KXT3,11.2268,3.3528,90.0,top
C112,100nF 0402,C_0402_1005Metric,-4.8768,-8.7884,90.0,top
R104,10k 0402,R_0402_1005Metric,10.1092,1.4732,180.0,top
U102,C2838502,ESP32-C3-MINI,4.7752,-4.8768,180.0,top
J101,C165948,USB_C_Receptacle_HRO_TYPE-C-31-M-12,21.2854,-10.8204,270.0,top
D101,C2827654,SOT23-6L,15.3416,-11.176,180.0,top
C107,10nF 0402,C_0402_1005Metric,-26.9494,-8.001,0.0,top
R105,10k 0402,R_0402_1005Metric,1.0668,1.524,0.0,top
R106,10k 0402,R_0402_1005Metric,-3.7338,-8.7884,90.0,top
U103,BH1721FVC,WSOF5,-4.3434,-12.3825,135.0,top
U104,AW9201,QFN-8L,-24.9174,-9.0805,90.0,top
D201,C965555,WS2812B-2020,22.0853,3.7719,180.0,top
D202,C965555,WS2812B-2020,18.923,10.3505,270.0,top
D203,C965555,WS2812B-2020,-1.6383,18.5674,360.0,top
D204,C965555,WS2812B-2020,-9.1694,14.0208,360.0,top
D205,C965555,WS2812B-2020,-17.4117,14.3891,360.0,top
D206,C965555,WS2812B-2020,-24.7396,8.3439,450.0,top
D301,C965555,WS2812B-2020,-18.5547,3.4925,180.0,top
D302,C965555,WS2812B-2020,-21.59,6.4008,405.0,top
D303,C965555,WS2812B-2020,-24.7269,-5.2959,180.0,top
D304,C965555,WS2812B-2020,-12.4333,0.2032,180.0,top
D305,C965555,WS2812B-2020,-8.0518,9.0043,270.0,top
D306,C965555,WS2812B-2020,3.175,3.937,180.0,top
D307,C965555,WS2812B-2020,14.7828,0.9144,450.0,top
D308,C965555,WS2812B-2020,13.97,-14.5288,180.0,top
D309,C965555,WS2812B-2020,-3.81,-4.953,450.0,top
D310,C965555,WS2812B-2020,-16.891,-10.795,360.0,top
D312,C965555,WS2812B-2020,1.524,13.97,180.0,top
