"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R104,R101";"R_0402_1005Metric";2;"10k 0402";;;
2;"C113,C112,C111,C110,C109,C106,C105,C103,C102";"C_0402_1005Metric";9;"0.1uF 0402";;;
3;"SW101";"SW_SPST_CK_KXT3";1;"KXT 331 LHS";;;
4;"U103";"Ambient_Prox_APDS-9960";1;"APDS-9960";;;
5;"R103,R102";"R_0402_1005Metric";2;"330R 0402";;;
6;"C108,C101,C104";"C_0805_2012Metric";3;"22uF 0805";;;
7;"J102";"SOIC_clipProgSmall";1;"Conn_02x04_Counter_Clockwise";;;
8;"C107";"C_0402_1005Metric";1;"0.8pF 0402";;;
9;"L101";"L_0402_1005Metric";1;"5.6nH 0402";;;
10;"AE101";"Johanson_2450AT43F0100";1;"2450AT43F0100";;;
11;"D312,D310,D309,D308,D302,D307,D306,D305,D304,D303,D301,D207,D205,D206,D204,D202,D201,D203";"SMD-LX0707RGB-TR";18;"LX0707RGB";;;
12;"SYM101";"dragon-silk";1;"SYM_Hot_Small";;;
13;"H102,H103,H101";"MountingHole_1.5mm_M1_Pad_Via";3;"MountingHole_Pad";;;
14;"J101";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB4105-GF-A";;;
15;"U102";"QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm";1;"ESP32-PICO-D4";;;
16;"Z102";"SOD-123";1;"DDZ9685";;;
17;"Z101";"SOD-123";1;"DDZ9690";;;
18;"U101";"SOT-223";1;"AP2114H-3_3TRG1";;;
